rosbagTimestamp,linear,x,y,z,angular,x,y,z
2300935000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300976000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301020000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301064000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301106000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301149000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301193000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301235000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301276000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301318000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301361000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301405000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301438000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301482000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301526000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301571000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301616000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301658000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301703000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301747000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301792000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301836000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301876000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301921000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2301965000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302010000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302055000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302096000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302141000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302185000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302230000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302275000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302317000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302361000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302405000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302450000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302496000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302536000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302582000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302630000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302674000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302717000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302760000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302805000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302850000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302895000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302938000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2302983000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2303028000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2303075000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2303120000000,,2.0,0.0,0.0,,0.0,0.0,0.0
